AL,Alabama,736679,28,0.8,64,0.8014425966740132,8.687637356297655
AK,Alaska,126994,2,0.1,6,1.505040002709072,4.7246326598107
AZ,Arizona,905326,14,0.4,21,0.025564299966382945,2.3196064180195863
AR,Arkansas,462154,12,0.3,35,0.058360848041482886,7.573233164702675
CA,California,5814551,102,2.9,210,0.02893742429095654,3.611628825682327
CO,Colorado,745734,14,0.4,78,0.09901599553899935,10.459493599594493
CT,Connecticut,522335,8,0.2,62,0.055732599446463825,11.869777058784114
DE,Delaware,119160,7,0.2,7,0.20143137132463285,5.874454514937899
FL,Florida,2417811,52,1.5,93,0.009947108736073115,3.8464544995452497
GA,Georgia,1480463,40,1.1,74,0.39190369423935045,4.99843629999534
HI,Hawaii,178483,2,0.1,1,0.156379257229804,0.5602774493929393
ID,Idaho,261178,3,0.1,3,0.2727513244349729,1.1486419223671211
IL,Illinois,1952070,35,1.0,61,0.015475267118585734,3.1248879394693843
IN,Indiana,1000935,13,0.4,12,0.0,1.1988790480900358
IA,Iowa,496944,9,0.3,30,0.5060751510353173,6.03689751762774
KS,Kansas,469174,3,0.1,8,0.1756519468383528,1.7051243248773376
KY,Kentucky,660887,13,0.4,51,0.04345332244103384,7.716901679107018
LA,Louisiana,741353,20,0.6,38,0.12103289472357097,5.125763300344101
ME,Maine,198229,3,0.1,0,0.0,0.0
MD,Maryland,825377,18,0.5,25,0.03209832873631769,3.0289189061483417
MA,Massachusetts,922876,16,0.5,24,0.0,2.6005660565449746
MI,Michigan,1592268,30,0.9,66,0.2203208532586005,4.14503086163887
MN,Minnesota,831835,8,0.2,36,0.13136002120150742,4.327781350868862
MS,Mississippi,487212,12,0.3,25,0.1309045735112632,5.131236504847992
MO,Missouri,882743,18,0.5,33,0.06411555161173672,3.7383474012254982
MT,Montana,151227,2,0.1,2,0.37354620486394513,1.3225151593300137
NE,Nebraska,296266,6,0.2,6,0.08680050726216444,2.0252070774236666
NV,Nevada,353892,10,0.3,21,0.5361901544763834,5.9340137669119395
NH,New Hampshire,186071,1,0.0,0,0.0,0.0
NJ,New Jersey,1279945,2,0.1,4,0.060707736867171166,0.31251342831137274
NM,New Mexico,318296,8,0.2,10,0.18139265114882772,3.1417297107095283
NY,New York,2711180,26,0.7,25,0.011277680573569301,0.9221077169350615
NC,North Carolina,1332439,37,1.1,37,0.0,2.776862580575921
ND,North Dakota,112498,0,0.0,0,0.0,0.0
OH,Ohio,1762637,26,0.7,43,0.0,2.439526686436288
OK,Oklahoma,638033,8,0.2,18,0.2453321971726691,2.821170691798073
OR,Oregon,542952,12,0.3,62,0.04989561836637754,11.419057301566252
PA,Pennsylvania,1736647,39,1.1,73,0.016877917717281882,4.203502496477408
RI,Rhode Island,145424,1,0.0,2,0.39838574097755897,1.3752888106502366
SC,South Carolina,698362,16,0.5,21,0.035990512900799354,3.0070364653288695
SD,South Dakota,132048,1,0.0,1,0.21281780348616844,0.7573003756209863
TN,Tennessee,921542,38,1.1,51,0.05687978812278924,5.5342024563177805
TX,Texas,4380824,68,1.9,131,0.03614990497997476,2.9903050202427672
UT,Utah,543341,6,0.2,4,0.043303099830749835,0.7361859311187633
VT,Vermont,93965,2,0.1,7,1.9598428206057876,7.449582291278667
VA,Virginia,1153872,24,0.7,135,0.0907856636727068,11.69973792587046
WA,Washington,991174,29,0.8,44,0.05224513679409473,4.439180204484783
WV,West Virginia,288793,2,0.1,5,0.4988603535223781,1.7313439037649805
WI,Wisconsin,844526,16,0.5,27,0.35091326932909245,3.197059652396729
WY,Wyoming,93500,2,0.1,6,1.7452463851584246,6.4171122994652405
